2017-11-13T12:24:30.777Z,2017-11-13T12:24:47.248Z
2017-11-13T12:27:19.529Z,2017-11-13T12:27:38.110Z
2017-11-13T12:33:55.497Z,2017-11-13T12:34:07.397Z
2017-11-13T12:34:45.930Z,2017-11-13T12:35:04.531Z
2017-11-13T12:35:06.096Z,2017-11-13T12:36:19.555Z
2017-11-13T12:38:11.302Z,2017-11-13T12:38:12.784Z
2017-11-13T12:38:12.896Z,2017-11-13T12:38:41.836Z
2017-11-13T12:38:53.875Z,2017-11-13T12:39:43.329Z
2017-11-13T12:39:49.290Z,2017-11-13T12:39:49.871Z
2017-11-13T12:40:29.232Z,2017-11-13T12:40:50.350Z
2017-11-13T12:42:31.371Z,2017-11-13T12:42:31.949Z
2017-11-13T12:42:32.040Z,2017-11-13T12:42:32.960Z
2017-11-13T12:42:33.209Z,2017-11-13T12:43:11.370Z
2017-11-13T12:43:11.509Z,2017-11-13T12:43:12.542Z
2017-11-13T12:43:12.700Z,2017-11-13T12:43:12.896Z
2017-11-13T12:43:12.982Z,2017-11-13T12:43:13.181Z
2017-11-13T12:43:41.712Z,2017-11-13T12:44:00.955Z
2017-11-13T12:45:32.318Z,2017-11-13T12:45:37.181Z
2017-11-13T13:13:34.159Z,2017-11-13T13:13:44.557Z
2017-11-13T13:13:44.683Z,2017-11-13T13:13:45.134Z
2017-11-13T13:13:45.192Z,2017-11-13T13:13:45.927Z
2017-11-13T13:23:32.954Z,2017-11-13T13:23:36.826Z
2017-11-13T13:23:36.910Z,2017-11-13T13:23:37.140Z
2017-11-13T13:23:37.192Z,2017-11-13T13:23:37.400Z
2017-11-13T13:37:31.962Z,2017-11-13T13:37:32.579Z
2017-11-13T13:38:20.240Z,2017-11-13T13:38:20.637Z
2017-11-13T13:38:20.720Z,2017-11-13T13:38:21.304Z
2017-11-13T13:39:18.537Z,2017-11-13T13:39:21.964Z
2017-11-13T13:39:22.111Z,2017-11-13T13:39:22.906Z
2017-11-13T13:39:23.027Z,2017-11-13T13:39:23.813Z
2017-11-13T13:39:23.982Z,2017-11-13T13:40:13.485Z
2017-11-13T13:40:13.703Z,2017-11-13T13:40:14.101Z
2017-11-13T13:40:14.149Z,2017-11-13T13:40:14.442Z
2017-11-13T13:40:14.483Z,2017-11-13T13:40:14.784Z
2017-11-13T13:40:14.828Z,2017-11-13T13:40:15.116Z
2017-11-13T13:57:21.264Z,2017-11-13T13:57:22.270Z
2017-11-13T13:59:12.163Z,2017-11-13T13:59:12.638Z
2017-11-13T13:59:12.683Z,2017-11-13T13:59:13.082Z
2017-11-13T13:59:53.051Z,2017-11-13T13:59:53.805Z
2017-11-13T13:59:53.902Z,2017-11-13T13:59:54.366Z
2017-11-13T14:00:27.808Z,2017-11-13T14:00:31.771Z
2017-11-13T14:01:19.866Z,2017-11-13T14:01:20.699Z
2017-11-13T14:01:26.222Z,2017-11-13T14:01:26.656Z
2017-11-13T14:01:26.750Z,2017-11-13T14:01:27.189Z
2017-11-13T14:01:51.310Z,2017-11-13T14:01:53.277Z
2017-11-13T14:02:47.239Z,2017-11-13T14:02:47.625Z
2017-11-13T14:02:59.471Z,2017-11-13T14:03:00.015Z
2017-11-13T14:03:33.710Z,2017-11-13T14:08:01.927Z
2017-11-13T14:08:02.190Z,2017-11-13T14:10:16.872Z
2017-11-13T14:10:17.001Z,2017-11-13T14:10:36.974Z
2017-11-13T14:10:37.103Z,2017-11-13T14:10:37.993Z
2017-11-13T14:14:15.886Z,2017-11-13T14:14:16.325Z
2017-11-13T14:14:16.437Z,2017-11-13T14:14:16.922Z
2017-11-13T14:14:17.000Z,2017-11-13T14:14:17.505Z
2017-11-13T14:14:17.619Z,2017-11-13T14:17:14.540Z
2017-11-13T14:20:06.258Z,2017-11-13T14:20:07.103Z
2017-11-13T14:20:07.201Z,2017-11-13T14:20:09.311Z
2017-11-13T14:20:09.402Z,2017-11-13T14:20:48.053Z
2017-11-13T14:20:48.168Z,2017-11-13T14:20:48.882Z
2017-11-13T14:24:07.694Z,2017-11-13T14:27:05.255Z
2017-11-13T14:27:37.190Z,2017-11-13T14:27:44.863Z
2017-11-13T14:27:44.962Z,2017-11-13T14:27:45.934Z
2017-11-13T14:33:19.671Z,2017-11-13T14:33:24.126Z
2017-11-13T14:33:25.026Z,2017-11-13T14:33:25.758Z
2017-11-14T10:08:33.969Z,2017-11-14T10:10:08.771Z
